,name,id,nametype,recclass,mass (g),fall,reclat,reclong,GeoLocation,Year,City,Country
5501,Colfax,5402,Valid,"Iron, IAB-ung",2300.0,Found,35.3,-81.73333000000001,"(35.3, -81.73333)",1880.0,shelby,us
21632,Lexington County,14644,Valid,"Iron, IAB-MG",4760.0,Found,34.0,-81.25,"(34.0, -81.25)",1880.0,lexington,us
1526,Admire,380,Valid,"Pallasite, PMG",180000.0,Found,38.7,-96.1,"(38.7, -96.1)",1881.0,emporia,us
5550,Costilla Peak,5453,Valid,"Iron, IIIAB",35500.0,Found,36.83333,-105.23333000000001,"(36.83333, -105.23333)",1881.0,taos,us
21639,Linville,14656,Valid,"Iron, IAB-sHH",442.0,Found,35.86667,-81.91667,"(35.86667, -81.91667)",1882.0,morganton,us
5201,Brenham,5136,Valid,"Pallasite, PMG-an",4300000.0,Found,37.5825,-99.16360999999999,"(37.5825, -99.16361)",1882.0,dodge city,us
11651,Enon,10037,Valid,"Iron, ungrouped",763.0,Found,39.86667,-83.95,"(39.86667, -83.95)",1883.0,fairborn,us
12646,Grand Rapids,10955,Valid,"Iron, ungrouped",51700.0,Found,42.96667,-85.76666999999999,"(42.96667, -85.76667)",1883.0,walker,us
11661,Estacado,10057,Valid,H6,290000.0,Found,33.9,-101.75,"(33.9, -101.75)",1883.0,plainview,us
16553,Jenny's Creek,12081,Valid,"Iron, IAB-MG",12000.0,Found,37.9,-82.38333,"(37.9, -82.38333)",1883.0,huntington,us
12626,Glorieta Mountain,10935,Valid,"Pallasite, PMG-an",148000.0,Found,35.6,-105.8,"(35.6, -105.8)",1884.0,santa fe,us
16321,Hammond,11813,Valid,"Iron, ungrouped",24000.0,Found,44.91667,-92.43333,"(44.91667, -92.43333)",1884.0,river falls,us
17265,Joe Wright Mountain,12174,Valid,"Iron, IIIAB",42600.0,Found,35.76667,-91.5,"(35.76667, -91.5)",1884.0,batesville,us
16545,Jamestown,12071,Valid,"Iron, IVA",4000.0,Found,46.61667,-98.5,"(46.61667, -98.5)",1885.0,jamestown,us
38059,Tonganoxie,24025,Valid,"Iron, IIIAB",11800.0,Found,39.08333,-95.11667,"(39.08333, -95.11667)",1886.0,lawrence,us
158,Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,35.5,-93.5,"(35.5, -93.5)",1886.0,russellville,us
140,Bradford Woods,5128,Valid,L,762.0,Fell,40.5,-80.08333,"(40.5, -80.08333)",1886.0,franklin park,us
16395,Holland's Store,11896,Valid,"Iron, IIAB",12200.0,Found,34.36667,-85.43333,"(34.36667, -85.43333)",1887.0,rome,us
37620,Silver Crown,23597,Valid,"Iron, IAB-MG",11600.0,Found,41.23333,-104.98333000000001,"(41.23333, -104.98333)",1887.0,cheyenne,us
26209,Mount Joy,16779,Valid,"Iron, IIAB",384000.0,Found,39.78333,-77.21667,"(39.78333, -77.21667)",1887.0,hanover,us
32007,Pipe Creek,18830,Valid,H6,13600.0,Found,29.683329999999998,-98.91667,"(29.68333, -98.91667)",1887.0,leon valley,us
17340,Kendall County,12274,Valid,"Iron, IAB-ung",21000.0,Found,29.4,-98.5,"(29.4, -98.5)",1887.0,san antonio,us
9163,Doyleville,7727,Valid,H5,112.0,Found,38.41667,-106.58333,"(38.41667, -106.58333)",1887.0,alamosa,us
1631,Algoma,470,Valid,"Iron, IAB-sHL",4100.0,Found,44.65,-87.46667,"(44.65, -87.46667)",1887.0,sturgeon bay,us
16513,Indian Valley,12029,Valid,"Iron, IIAB",14100.0,Found,36.93333,-80.5,"(36.93333, -80.5)",1887.0,radford,us
